Name,Year of release,Rating,Genre,imdb Url,votes
The Punisher,(2017– ),8.6,"
Action, Adventure, Crime            ",http://www.imdb.com/title/tt5675620/?ref_=adv_li_tt,"132,557"
Glass,(2019),7,"
Drama, Sci-Fi, Thriller            ",http://www.imdb.com/title/tt6823368/?ref_=adv_li_tt,"56,379"
Aquaman,(2018),7.4,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt1477834/?ref_=adv_li_tt,"157,477"
The Orville,(2017– ),7.9,"
Adventure, Comedy, Drama            ",http://www.imdb.com/title/tt5691552/?ref_=adv_li_tt,"41,038"
Titans,(I) (2018– ),8.2,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt1043813/?ref_=adv_li_tt,"27,508"
Alita: Battle Angel,(2019),7.8,"
Action, Adventure, Romance            ",http://www.imdb.com/title/tt0437086/?ref_=adv_li_tt,"1,027"
The Walking Dead,(2010– ),8.3,"
Drama, Horror, Sci-Fi            ",http://www.imdb.com/title/tt1520211/?ref_=adv_li_tt,"770,086"
Mortal Engines,(2018),6.3,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt1571234/?ref_=adv_li_tt,"32,672"
Avengers: Endgame,(2019),NA,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt4154796/?ref_=adv_li_tt,NA
IO,(2019),4.7,"
Adventure, Drama, Romance            ",http://www.imdb.com/title/tt3256226/?ref_=adv_li_tt,"16,882"
Spider-Man: Into the Spider-Verse,(2018),8.7,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt4633694/?ref_=adv_li_tt,"91,886"
Black Mirror,(2011– ),8.9,"
Drama, Sci-Fi, Thriller            ",http://www.imdb.com/title/tt2085059/?ref_=adv_li_tt,"288,030"
Bird Box,(2018),6.7,"
Drama, Horror, Sci-Fi            ",http://www.imdb.com/title/tt2737304/?ref_=adv_li_tt,"175,464"
Star Trek: Discovery,(2017– ),7.4,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt5171438/?ref_=adv_li_tt,"59,645"
Gotham,(2014– ),7.9,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt3749900/?ref_=adv_li_tt,"187,860"
A Quiet Place,(2018),7.6,"
Drama, Horror, Mystery            ",http://www.imdb.com/title/tt6644200/?ref_=adv_li_tt,"270,504"
The Flash,(2014– ),7.9,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt3107288/?ref_=adv_li_tt,"267,909"
Black Panther,(2018),7.4,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt1825683/?ref_=adv_li_tt,"456,135"
Bumblebee,(2018),7.1,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt4701182/?ref_=adv_li_tt,"47,768"
Captain Marvel,(2019),NA,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt4154664/?ref_=adv_li_tt,NA
Avengers: Infinity War,(2018),8.5,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt4154756/?ref_=adv_li_tt,"580,382"
Solo: A Star Wars Story,(2018),7,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt3778644/?ref_=adv_li_tt,"201,406"
Arrow,(2012– ),7.7,"
Action, Adventure, Crime            ",http://www.imdb.com/title/tt2193021/?ref_=adv_li_tt,"372,386"
Escape Room,(2019),6.4,"
Drama, Mystery, Sci-Fi            ",http://www.imdb.com/title/tt5886046/?ref_=adv_li_tt,"7,866"
Unbreakable,(2000),7.3,"
Drama, Mystery, Sci-Fi            ",http://www.imdb.com/title/tt0217869/?ref_=adv_li_tt,"332,421"
Stranger Things,(2016– ),8.9,"
Drama, Fantasy, Horror            ",http://www.imdb.com/title/tt4574334/?ref_=adv_li_tt,"556,856"
Spider-Man: Far From Home,(2019),NA,"
Action, Adventure, Comedy            ",http://www.imdb.com/title/tt6320628/?ref_=adv_li_tt,NA
"Roswell, New Mexico",(2019– ),5.3,"
Drama, Romance, Sci-Fi            ",http://www.imdb.com/title/tt7588054/?ref_=adv_li_tt,"2,477"
The Boys,(2019– ),NA,"
Action, Drama, Sci-Fi            ",http://www.imdb.com/title/tt1190634/?ref_=adv_li_tt,NA
Venom,(2018),6.8,"
Action, Sci-Fi            ",http://www.imdb.com/title/tt1270797/?ref_=adv_li_tt,"227,668"
Agents of S.H.I.E.L.D.,(2013– ),7.5,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt2364582/?ref_=adv_li_tt,"178,959"
Incredibles 2,(2018),7.8,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt3606756/?ref_=adv_li_tt,"172,097"
Shazam!,(2019),NA,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt0448115/?ref_=adv_li_tt,NA
Ready Player One,(2018),7.5,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt1677720/?ref_=adv_li_tt,"274,896"
The 100,(2014– ),7.8,"
Drama, Mystery, Sci-Fi            ",http://www.imdb.com/title/tt2661044/?ref_=adv_li_tt,"168,019"
Supergirl,(2015– ),6.5,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt4016454/?ref_=adv_li_tt,"92,857"
The Handmaid's Tale,(2017– ),8.6,"
Drama, Sci-Fi            ",http://www.imdb.com/title/tt5834204/?ref_=adv_li_tt,"105,306"
Daredevil,(2015–2018),8.7,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt3322312/?ref_=adv_li_tt,"319,766"
Replicas,(2018),5.4,"
Sci-Fi, Thriller            ",http://www.imdb.com/title/tt4154916/?ref_=adv_li_tt,"8,768"
Ant-Man and the Wasp,(2018),7.1,"
Action, Adventure, Comedy            ",http://www.imdb.com/title/tt5095030/?ref_=adv_li_tt,"190,701"
Future Man,(2017– ),7.9,"
Action, Adventure, Comedy            ",http://www.imdb.com/title/tt4975856/?ref_=adv_li_tt,"13,442"
Deadpool 2,(2018),7.8,"
Action, Adventure, Comedy            ",http://www.imdb.com/title/tt5463162/?ref_=adv_li_tt,"343,877"
Nightflyers,(2018– ),6,"
Horror, Sci-Fi            ",http://www.imdb.com/title/tt6903284/?ref_=adv_li_tt,"4,410"
Doctor Who,(2005– ),8.7,"
Adventure, Drama, Family            ",http://www.imdb.com/title/tt0436992/?ref_=adv_li_tt,"181,165"
Westworld,(2016– ),8.8,"
Drama, Mystery, Sci-Fi            ",http://www.imdb.com/title/tt0475784/?ref_=adv_li_tt,"326,653"
Rogue One,(2016),7.8,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt3748528/?ref_=adv_li_tt,"461,982"
Annihilation,(2018),6.9,"
Adventure, Drama, Horror            ",http://www.imdb.com/title/tt2798920/?ref_=adv_li_tt,"208,950"
Dark Phoenix,(2019),NA,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt6565702/?ref_=adv_li_tt,NA
Untitled Terminator Reboot,(2019),NA,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt6450804/?ref_=adv_li_tt,NA
The Predator,(2018),5.4,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt3829266/?ref_=adv_li_tt,"81,642"
Spider-Man: Into the Spider-Verse,(2018),8.7,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt4633694/?ref_=adv_li_tt,"91,886"
How to Train Your Dragon: The Hidden World,(2019),8.1,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt2386490/?ref_=adv_li_tt,"8,282"
Doragon bôru chô: Burorî,(2018),8.3,"
Animation, Action, Fantasy            ",http://www.imdb.com/title/tt7961060/?ref_=adv_li_tt,"10,257"
The Lego Movie 2: The Second Part,(2019),7.5,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt3513498/?ref_=adv_li_tt,70
Incredibles 2,(2018),7.8,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt3606756/?ref_=adv_li_tt,"172,097"
Hotel Transylvania 3: Summer Vacation,(2018),6.3,"
Animation, Adventure, Comedy            ",http://www.imdb.com/title/tt5220122/?ref_=adv_li_tt,"35,688"
The Grinch,(2018),6.3,"
Animation, Comedy, Family            ",http://www.imdb.com/title/tt2709692/?ref_=adv_li_tt,"21,874"
Ralph Breaks the Internet,(2018),7.3,"
Animation, Adventure, Comedy            ",http://www.imdb.com/title/tt5848272/?ref_=adv_li_tt,"43,852"
Toy Story 4,(2019),NA,"
Animation, Adventure, Comedy            ",http://www.imdb.com/title/tt1979376/?ref_=adv_li_tt,NA
Isle of Dogs,(2018),7.9,"
Animation, Adventure, Comedy            ",http://www.imdb.com/title/tt5104604/?ref_=adv_li_tt,"94,639"
Rick and Morty,(2013– ),9.3,"
Animation, Adventure, Comedy            ",http://www.imdb.com/title/tt2861424/?ref_=adv_li_tt,"250,913"
Family Guy,(1999– ),8.2,"
Animation, Comedy            ",http://www.imdb.com/title/tt0182576/?ref_=adv_li_tt,"278,889"
Reign of the Supermen,(2019),6.9,"
Animation, Action, Sci-Fi            ",http://www.imdb.com/title/tt7167686/?ref_=adv_li_tt,"3,971"
Young Justice,(2010– ),8.7,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt1641384/?ref_=adv_li_tt,"26,209"
The Lion King,(2019),NA,"
Animation, Adventure, Drama            ",http://www.imdb.com/title/tt6105098/?ref_=adv_li_tt,NA
Carmen Sandiego,(2019– ),8.1,"
Animation, Adventure, Family            ",http://www.imdb.com/title/tt7042146/?ref_=adv_li_tt,"1,003"
Big Mouth,(2017– ),8.1,"
Animation, Comedy, Romance            ",http://www.imdb.com/title/tt6524350/?ref_=adv_li_tt,"32,043"
The Simpsons,(1989– ),8.7,"
Animation, Comedy            ",http://www.imdb.com/title/tt0096697/?ref_=adv_li_tt,"326,480"
Sing,(2016),7.1,"
Animation, Comedy, Family            ",http://www.imdb.com/title/tt3470600/?ref_=adv_li_tt,"110,712"
How to Train Your Dragon,(2010),8.1,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt0892769/?ref_=adv_li_tt,"594,007"
BoJack Horseman,(2014– ),8.5,"
Animation, Comedy, Drama            ",http://www.imdb.com/title/tt3398228/?ref_=adv_li_tt,"65,388"
Bob's Burgers,(2011– ),8.1,"
Animation, Comedy            ",http://www.imdb.com/title/tt1561755/?ref_=adv_li_tt,"54,400"
Smallfoot,(2018),6.7,"
Animation, Adventure, Comedy            ",http://www.imdb.com/title/tt6182908/?ref_=adv_li_tt,"18,229"
How to Train Your Dragon 2,(2014),7.8,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt1646971/?ref_=adv_li_tt,"266,329"
South Park,(1997– ),8.7,"
Animation, Comedy            ",http://www.imdb.com/title/tt0121955/?ref_=adv_li_tt,"294,900"
Coco,(I) (2017),8.4,"
Animation, Adventure, Comedy            ",http://www.imdb.com/title/tt2380307/?ref_=adv_li_tt,"254,992"
The Incredibles,(2004),8,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt0317705/?ref_=adv_li_tt,"586,010"
Gen: Lock,(2019– ),8.8,"
Animation, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt7945066/?ref_=adv_li_tt,192
Christopher Robin,(2018),7.4,"
Animation, Adventure, Comedy            ",http://www.imdb.com/title/tt4575576/?ref_=adv_li_tt,"40,875"
Frozen,(I) (2013),7.5,"
Animation, Adventure, Comedy            ",http://www.imdb.com/title/tt2294629/?ref_=adv_li_tt,"506,191"
Pokémon Detective Pikachu,(2019),NA,"
Animation, Adventure, Family            ",http://www.imdb.com/title/tt5884052/?ref_=adv_li_tt,NA
The Lego Movie,(2014),7.8,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt1490017/?ref_=adv_li_tt,"295,394"
The Lion King,(1994),8.5,"
Animation, Adventure, Drama            ",http://www.imdb.com/title/tt0110357/?ref_=adv_li_tt,"812,632"
Archer,(2009– ),8.7,"
Animation, Action, Comedy            ",http://www.imdb.com/title/tt1486217/?ref_=adv_li_tt,"120,700"
Frozen 2,(2019),NA,"
Animation, Adventure, Comedy            ",http://www.imdb.com/title/tt4520988/?ref_=adv_li_tt,NA
Moana,(I) (2016),7.6,"
Animation, Adventure, Comedy            ",http://www.imdb.com/title/tt3521164/?ref_=adv_li_tt,"215,123"
Sonic the Hedgehog,(2019),NA,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt3794354/?ref_=adv_li_tt,NA
Avatar: The Last Airbender,(2003–2008),9.2,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt0417299/?ref_=adv_li_tt,"182,476"
Steven Universe,(2013– ),8.3,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt3061046/?ref_=adv_li_tt,"20,234"
The Addams Family,(2019),NA,"
Animation, Comedy, Family            ",http://www.imdb.com/title/tt1620981/?ref_=adv_li_tt,NA
Tangled,(2010),7.8,"
Animation, Adventure, Comedy            ",http://www.imdb.com/title/tt0398286/?ref_=adv_li_tt,"357,612"
Toy Story,(1995),8.3,"
Animation, Adventure, Comedy            ",http://www.imdb.com/title/tt0114709/?ref_=adv_li_tt,"772,921"
Toy Story 3,(2010),8.3,"
Animation, Adventure, Comedy            ",http://www.imdb.com/title/tt0435761/?ref_=adv_li_tt,"666,002"
Hercules,(1997),7.3,"
Animation, Adventure, Comedy            ",http://www.imdb.com/title/tt0119282/?ref_=adv_li_tt,"177,524"
American Dad!,(2005– ),7.4,"
Animation, Comedy            ",http://www.imdb.com/title/tt0397306/?ref_=adv_li_tt,"104,091"
King of the Hill,(1997–2010),7.3,"
Animation, Comedy, Drama            ",http://www.imdb.com/title/tt0118375/?ref_=adv_li_tt,"41,202"
Sen to Chihiro no kamikakushi,(2001),8.6,"
Animation, Adventure, Family            ",http://www.imdb.com/title/tt0245429/?ref_=adv_li_tt,"541,628"
Wreck-It Ralph,(2012),7.7,"
Animation, Adventure, Comedy            ",http://www.imdb.com/title/tt1772341/?ref_=adv_li_tt,"332,534"
Kimi no na wa.,(2016),8.4,"
Animation, Drama, Fantasy            ",http://www.imdb.com/title/tt5311514/?ref_=adv_li_tt,"122,181"
Shingeki no kyojin,(2013– ),8.8,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt2560140/?ref_=adv_li_tt,"105,931"
"Extremely Wicked, Shockingly Evil, and Vile",(2019),8,"
Biography, Crime, Thriller            ",http://www.imdb.com/title/tt2481498/?ref_=adv_li_tt,358
The Punisher,(2017– ),8.6,"
Action, Adventure, Crime            ",http://www.imdb.com/title/tt5675620/?ref_=adv_li_tt,"132,557"
Glass,(2019),7,"
Drama, Sci-Fi, Thriller            ",http://www.imdb.com/title/tt6823368/?ref_=adv_li_tt,"56,379"
True Detective,(2014– ),9,"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt2356777/?ref_=adv_li_tt,"424,344"
You,(2018– ),8,"
Crime, Drama, Romance            ",http://www.imdb.com/title/tt7335184/?ref_=adv_li_tt,"40,680"
Serenity,(2019),5.1,"
Drama, Thriller            ",http://www.imdb.com/title/tt6476140/?ref_=adv_li_tt,"2,774"
Velvet Buzzsaw,(2019),5.9,"
Horror, Mystery, Thriller            ",http://www.imdb.com/title/tt7043012/?ref_=adv_li_tt,"13,949"
Alita: Battle Angel,(2019),7.8,"
Action, Adventure, Romance            ",http://www.imdb.com/title/tt0437086/?ref_=adv_li_tt,"1,027"
The Walking Dead,(2010– ),8.3,"
Drama, Horror, Sci-Fi            ",http://www.imdb.com/title/tt1520211/?ref_=adv_li_tt,"770,086"
Kingdom,(2019– ),8.5,"
Action, Thriller            ",http://www.imdb.com/title/tt6611916/?ref_=adv_li_tt,"3,943"
Mortal Engines,(2018),6.3,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt1571234/?ref_=adv_li_tt,"32,672"
Widows,(2018),7.2,"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt4218572/?ref_=adv_li_tt,"37,251"
Joker,(2019),NA,"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt7286456/?ref_=adv_li_tt,NA
Black Mirror,(2011– ),8.9,"
Drama, Sci-Fi, Thriller            ",http://www.imdb.com/title/tt2085059/?ref_=adv_li_tt,"288,030"
Supernatural,(2005– ),8.5,"
Drama, Fantasy, Horror            ",http://www.imdb.com/title/tt0460681/?ref_=adv_li_tt,"345,088"
Suspiria,(I) (2018),7,"
Fantasy, Horror, Mystery            ",http://www.imdb.com/title/tt1034415/?ref_=adv_li_tt,"21,793"
Bird Box,(2018),6.7,"
Drama, Horror, Sci-Fi            ",http://www.imdb.com/title/tt2737304/?ref_=adv_li_tt,"175,464"
Split,(IX) (2016),7.3,"
Horror, Thriller            ",http://www.imdb.com/title/tt4972582/?ref_=adv_li_tt,"328,165"
Gotham,(2014– ),7.9,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt3749900/?ref_=adv_li_tt,"187,860"
Close,(I) (2019),5.6,"
Action, Thriller            ",http://www.imdb.com/title/tt5316540/?ref_=adv_li_tt,"8,222"
The Mule,(2018),7.2,"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt7959026/?ref_=adv_li_tt,"16,620"
A Quiet Place,(2018),7.6,"
Drama, Horror, Mystery            ",http://www.imdb.com/title/tt6644200/?ref_=adv_li_tt,"270,504"
Criminal Minds,(2005– ),8.1,"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt0452046/?ref_=adv_li_tt,"135,214"
The Blacklist,(2013– ),8.1,"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt2741602/?ref_=adv_li_tt,"151,307"
Escape Room,(2019),6.4,"
Drama, Mystery, Sci-Fi            ",http://www.imdb.com/title/tt5886046/?ref_=adv_li_tt,"7,866"
Unbreakable,(2000),7.3,"
Drama, Mystery, Sci-Fi            ",http://www.imdb.com/title/tt0217869/?ref_=adv_li_tt,"332,421"
Hunter Killer,(2018),6.6,"
Action, Thriller            ",http://www.imdb.com/title/tt1846589/?ref_=adv_li_tt,"21,867"
Stranger Things,(2016– ),8.9,"
Drama, Fantasy, Horror            ",http://www.imdb.com/title/tt4574334/?ref_=adv_li_tt,"556,856"
The Girl in the Spider's Web,(2018),6.1,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt5177088/?ref_=adv_li_tt,"16,460"
Luther,(2010– ),8.5,"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt1474684/?ref_=adv_li_tt,"100,909"
Breaking Bad,(2008–2013),9.5,"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt0903747/?ref_=adv_li_tt,"1,156,207"
Law & Order: Special Victims Unit,(1999– ),8,"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt0203259/?ref_=adv_li_tt,"66,511"
Bad Times at the El Royale,(2018),7.2,"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt6628394/?ref_=adv_li_tt,"62,673"
Agents of S.H.I.E.L.D.,(2013– ),7.5,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt2364582/?ref_=adv_li_tt,"178,959"
It: Chapter Two,(2019),NA,"
Horror, Thriller            ",http://www.imdb.com/title/tt7349950/?ref_=adv_li_tt,NA
Robin Hood,(I) (2018),5.3,"
Action, Adventure, Thriller            ",http://www.imdb.com/title/tt4532826/?ref_=adv_li_tt,"19,198"
Deadly Class,(2018– ),8.1,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt5924572/?ref_=adv_li_tt,"2,456"
Black Earth Rising,(2018– ),6.9,"
Thriller            ",http://www.imdb.com/title/tt7660730/?ref_=adv_li_tt,"1,568"
Miss Bala,(2019),5,"
Action, Drama, Thriller            ",http://www.imdb.com/title/tt5941692/?ref_=adv_li_tt,750
The Sinner,(2017– ),8,"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt6048596/?ref_=adv_li_tt,"51,723"
Tin Star,(2017– ),7.3,"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt4607112/?ref_=adv_li_tt,"7,522"
Ozark,(2017– ),8.3,"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt5071412/?ref_=adv_li_tt,"98,566"
A Simple Favor,(2018),6.9,"
Comedy, Crime, Drama            ",http://www.imdb.com/title/tt7040874/?ref_=adv_li_tt,"65,826"
Cold Pursuit,(2019),NA,"
Action, Drama, Thriller            ",http://www.imdb.com/title/tt5719748/?ref_=adv_li_tt,NA
NCIS: Naval Criminal Investigative Service,(2003– ),7.8,"
Action, Comedy, Crime            ",http://www.imdb.com/title/tt0364845/?ref_=adv_li_tt,"104,774"
The Haunting of Hill House,(2018– ),8.8,"
Drama, Horror, Mystery            ",http://www.imdb.com/title/tt6763664/?ref_=adv_li_tt,"99,827"
American Horror Story,(2011– ),8.1,"
Drama, Horror, Thriller            ",http://www.imdb.com/title/tt1844624/?ref_=adv_li_tt,"245,066"
Daredevil,(2015–2018),8.7,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt3322312/?ref_=adv_li_tt,"319,766"
Climax,(I) (2018),7.5,"
Drama, Horror, Music            ",http://www.imdb.com/title/tt8359848/?ref_=adv_li_tt,"9,812"
Replicas,(2018),5.4,"
Sci-Fi, Thriller            ",http://www.imdb.com/title/tt4154916/?ref_=adv_li_tt,"8,768"
